Service_Provider_Type,Company_Name,Country,Full_Name,ID,Original_Category,Search_Friendly_Type
Promoters Marketers,Abalone Asset Management Ltd (MT ),MT,Abalone Asset Management Ltd (MT ),84096,Promid,Promoters_Marketers
Promoters Marketers,"Abante Asesores Gestion SGIIC, S.A. (ES )",ES,"Abante Asesores Gestion SGIIC, S.A. (ES )",69410,Promid,Promoters_Marketers
Promoters Marketers,Abaris Investment Management AG (CH ),CH,Abaris Investment Management AG (CH ),73858,Promid,Promoters_Marketers
Promoters Marketers,Aberdeen AM Ltd Aberdeen (GB ),GB,Aberdeen AM Ltd Aberdeen (GB ),16356,Promid,Promoters_Marketers
Promoters Marketers,Aberdeen Asset Management Plc (GB ),GB,Aberdeen Asset Management Plc (GB ),1595,Promid,Promoters_Marketers
Promoters Marketers,Aberdeen Asset Mgt Gestion SNC (FR ),FR,Aberdeen Asset Mgt Gestion SNC (FR ),72421,Promid,Promoters_Marketers
Promoters Marketers,Aberdeen Direct Property (Hold) Ld (GB ),GB,Aberdeen Direct Property (Hold) Ld (GB ),83811,Promid,Promoters_Marketers
Promoters Marketers,Aberdeen Private Wealth Mgt Ld (JE ),JE,Aberdeen Private Wealth Mgt Ld (JE ),73051,Promid,Promoters_Marketers
Promoters Marketers,Aberdeen Property Invest. Corporate (NO ),NO,Aberdeen Property Invest. Corporate (NO ),10835,Promid,Promoters_Marketers
Promoters Marketers,Aberdeen Property Investors Hold. AB (SE ),SE,Aberdeen Property Investors Hold. AB (SE ),5710,Promid,Promoters_Marketers
Promoters Marketers,ABN AMRO AIS Holding B.V. (NL ),NL,ABN AMRO AIS Holding B.V. (NL ),21320,Promid,Promoters_Marketers
Promoters Marketers,ABN AMRO Investment Solutions (FR ),FR,ABN AMRO Investment Solutions (FR ),82980,Promid,Promoters_Marketers
Promoters Marketers,abrdn Fund Managers Limited (GB ),GB,abrdn Fund Managers Limited (GB ),71802,Promid,Promoters_Marketers
Promoters Marketers,abrdn Investments Luxembourg S.A. (LU ),LU,abrdn Investments Luxembourg S.A. (LU ),13942,Promid,Promoters_Marketers
Promoters Marketers,Absalon Cap Fondsmæglerselskab A/S (DK ),DK,Absalon Cap Fondsmæglerselskab A/S (DK ),78353,Promid,Promoters_Marketers
Promoters Marketers,Abu Dhabi Investment Company (AE ),AE,Abu Dhabi Investment Company (AE ),26745,Promid,Promoters_Marketers
Promoters Marketers,ACATIS Fair Value Investment AG (CH ),CH,ACATIS Fair Value Investment AG (CH ),71806,Promid,Promoters_Marketers
Promoters Marketers,ACATIS Investment KVG mbH (DE ),DE,ACATIS Investment KVG mbH (DE ),2372,Promid,Promoters_Marketers
Promoters Marketers,Accendo Capital Managers S.à.r.l. (LU ),LU,Accendo Capital Managers S.à.r.l. (LU ),12828,Promid,Promoters_Marketers
Promoters Marketers,Access Capital Partners Group (BE ),BE,Access Capital Partners Group (BE ),71423,Promid,Promoters_Marketers
Promoters Marketers,Accuro Fund Solutions AG (LI ),LI,Accuro Fund Solutions AG (LI ),87672,Promid,Promoters_Marketers
Promoters Marketers,Acer Finance (FR ),FR,Acer Finance (FR ),72423,Promid,Promoters_Marketers
Promoters Marketers,acevo GmbH (DE ),DE,acevo GmbH (DE ),87460,Promid,Promoters_Marketers
Promoters Marketers,AcomeA SGR S.p.A. (IT ),IT,AcomeA SGR S.p.A. (IT ),113939,Promid,Promoters_Marketers
Promoters Marketers,ACP Partners Investment Managers (IE ),IE,ACP Partners Investment Managers (IE ),70834,Promid,Promoters_Marketers
Promoters Marketers,ACPI Investments Limited (GB ),GB,ACPI Investments Limited (GB ),17413,Promid,Promoters_Marketers
Promoters Marketers,ACT Currency Partner AG (CH ),CH,ACT Currency Partner AG (CH ),5679,Promid,Promoters_Marketers
Promoters Marketers,Actis Asset Management (FR ),FR,Actis Asset Management (FR ),72422,Promid,Promoters_Marketers
Promoters Marketers,ADA a.s.b.l. (LU ),LU,ADA a.s.b.l. (LU ),17665,Promid,Promoters_Marketers
Promoters Marketers,ADCB Asset Management Limited (AE ),AE,ADCB Asset Management Limited (AE ),93259,Promid,Promoters_Marketers
Promoters Marketers,Adenium SGR S.p.A (IT ),IT,Adenium SGR S.p.A (IT ),18609,Promid,Promoters_Marketers
Promoters Marketers,Adepa Asset Management S.A. (LU ),LU,Adepa Asset Management S.A. (LU ),9843,Promid,Promoters_Marketers
Promoters Marketers,Aditum Investment Management Limited (AE ),AE,Aditum Investment Management Limited (AE ),101010,Promid,Promoters_Marketers
Promoters Marketers,Advenis Investment Managers (FR ),FR,Advenis Investment Managers (FR ),81708,Promid,Promoters_Marketers
Promoters Marketers,Advisory Invest GmbH (AT ),AT,Advisory Invest GmbH (AT ),69602,Promid,Promoters_Marketers
Promoters Marketers,Aegon Asset Management UK plc (GB ),GB,Aegon Asset Management UK plc (GB ),10167,Promid,Promoters_Marketers
Promoters Marketers,Aegon Investment Management B.V. (NL ),NL,Aegon Investment Management B.V. (NL ),84371,Promid,Promoters_Marketers
Promoters Marketers,Aesope Gestion de Portefeuilles (FR ),FR,Aesope Gestion de Portefeuilles (FR ),72424,Promid,Promoters_Marketers
Promoters Marketers,AFD Fund Management Ltd (LU ),LU,AFD Fund Management Ltd (LU ),91309,Promid,Promoters_Marketers
Promoters Marketers,AFDGP Luxembourg SARL (LU ),LU,AFDGP Luxembourg SARL (LU ),108998,Promid,Promoters_Marketers
Promoters Marketers,AFFM S.A. (LU ),LU,AFFM S.A. (LU ),11321,Promid,Promoters_Marketers
Promoters Marketers,Aforge Degroof Family Office (FR ),FR,Aforge Degroof Family Office (FR ),72427,Promid,Promoters_Marketers
Promoters Marketers,AG Insurance SA/NV (BE ),BE,AG Insurance SA/NV (BE ),5516,Promid,Promoters_Marketers
Promoters Marketers,AGEAS (FR ),FR,AGEAS (FR ),71835,Promid,Promoters_Marketers
Promoters Marketers,Agence Française du Patrimoine (FR ),FR,Agence Française du Patrimoine (FR ),105974,Promid,Promoters_Marketers
Promoters Marketers,Aguja Capital GmbH (DE ),DE,Aguja Capital GmbH (DE ),114059,Promid,Promoters_Marketers
Promoters Marketers,Ahead Wealth Solutions AG (LI ),LI,Ahead Wealth Solutions AG (LI ),80591,Promid,Promoters_Marketers
Promoters Marketers,AHP Capital Management GmbH (DE ),DE,AHP Capital Management GmbH (DE ),84262,Promid,Promoters_Marketers
Promoters Marketers,AIA Investment Management Private Ld (SG ),SG,AIA Investment Management Private Ld (SG ),97778,Promid,Promoters_Marketers
Promoters Marketers,AIF Alternativ Invest Finance AG (LI ),LI,AIF Alternativ Invest Finance AG (LI ),80364,Promid,Promoters_Marketers
Promoters Marketers,AIFM Services S.A. (LU ),LU,AIFM Services S.A. (LU ),68058,Promid,Promoters_Marketers
Promoters Marketers,AKO Capital LLP (GB ),GB,AKO Capital LLP (GB ),100982,Promid,Promoters_Marketers
Promoters Marketers,Akragas AG (CH ),CH,Akragas AG (CH ),21181,Promid,Promoters_Marketers
Promoters Marketers,Alatus Capital S.A. (CH ),CH,Alatus Capital S.A. (CH ),72378,Promid,Promoters_Marketers
Promoters Marketers,"Albatros Activos XXI EAFI, S.L. (ES )",ES,"Albatros Activos XXI EAFI, S.L. (ES )",87987,Promid,Promoters_Marketers
Promoters Marketers,Albemarle Asset Management Ltd. (GB ),GB,Albemarle Asset Management Ltd. (GB ),19391,Promid,Promoters_Marketers
Promoters Marketers,Alcentra Limited (GB ),GB,Alcentra Limited (GB ),17012,Promid,Promoters_Marketers
Promoters Marketers,Alegra Capital Lie AG (LI ),LI,Alegra Capital Lie AG (LI ),80800,Promid,Promoters_Marketers
Promoters Marketers,Alena S.A. (BE ),BE,Alena S.A. (BE ),1607,Promid,Promoters_Marketers
Promoters Marketers,Alexandre Finance SAS (FR ),FR,Alexandre Finance SAS (FR ),72425,Promid,Promoters_Marketers
Promoters Marketers,Alfred Berg Fonder AB (SE ),SE,Alfred Berg Fonder AB (SE ),97979,Promid,Promoters_Marketers
Promoters Marketers,Alfred Berg Kapitalförvaltning AB (SE ),SE,Alfred Berg Kapitalförvaltning AB (SE ),16162,Promid,Promoters_Marketers
Promoters Marketers,Alfred Berg Kapitalforvaltning AS (NO ),NO,Alfred Berg Kapitalforvaltning AS (NO ),16166,Promid,Promoters_Marketers
Promoters Marketers,Algebris (Luxembourg) S.à r.l. (LU ),LU,Algebris (Luxembourg) S.à r.l. (LU ),20599,Promid,Promoters_Marketers
Promoters Marketers,Algebris (UK) Limited (GB ),GB,Algebris (UK) Limited (GB ),83232,Promid,Promoters_Marketers
