ID,Company_Name,Service_Type,Country,Search_Value,Original_Category
72425,Alexandre Finance SAS (FR ),Promoters Marketers,Unknown,72425,Promid
97979,Alfred Berg Fonder AB (SE ),Promoters Marketers,Unknown,97979,Promid
16162,Alfred Berg Kapitalförvaltning AB (SE ),Promoters Marketers,Unknown,16162,Promid
16166,Alfred Berg Kapitalforvaltning AS (NO ),Promoters Marketers,Unknown,16166,Promid
20599,Algebris (Luxembourg) S.à r.l. (LU ),Promoters Marketers,Unknown,20599,Promid
83232,Algebris (UK) Limited (GB ),Promoters Marketers,Unknown,83232,Promid
20600,Algebris Investments (Cayman) Ltd (KY ),Promoters Marketers,Unknown,20600,Promid
74339,"Alger Management, Ltd. (GB )",Promoters Marketers,Unknown,74339,Promid
91934,Alicanto Capital S.G.R. S. p.A. (IT ),Promoters Marketers,Unknown,91934,Promid
71799,Alienor Capital (FR ),Promoters Marketers,Unknown,71799,Promid
3130,Allfunds Bank S.A.U. (ES ),Promoters Marketers,Unknown,3130,Promid
4238,AllianceBernstein (Luxembourg) Sàrl (LU ),Promoters Marketers,Unknown,4238,Promid
2671,AllianceBernstein L.P. (US ),Promoters Marketers,Unknown,2671,Promid
10294,AllianceBernstein Limited (GB ),Promoters Marketers,Unknown,10294,Promid
1610,Allianz (DE ),Promoters Marketers,Unknown,1610,Promid
101004,Allianz Capital Partners GmbH Lux Br (LU ),Promoters Marketers,Unknown,101004,Promid
10768,Allianz Global Investors GmbH (DE ),Promoters Marketers,Unknown,10768,Promid
88507,Allianz Global Investors GmbH IT (IT ),Promoters Marketers,Unknown,88507,Promid
72367,Allianz Global Investors GmbH Lux. B (LU ),Promoters Marketers,Unknown,72367,Promid
14353,Allianz Global Investors GmbH UK (GB ),Promoters Marketers,Unknown,14353,Promid
13030,Allianz Global Investors Italia SGR (IT ),Promoters Marketers,Unknown,13030,Promid
71837,Allianz Invest K. mbH (AT ),Promoters Marketers,Unknown,71837,Promid
91677,Allianz Investment Management SE (DE ),Promoters Marketers,Unknown,91677,Promid
101375,Allied Investment Partners PJSC (AE ),Promoters Marketers,Unknown,101375,Promid
72895,Allspring Global Investments Lux SA (LU ),Promoters Marketers,Unknown,72895,Promid
15888,Alm. Brand Invest (DK ),Promoters Marketers,Unknown,15888,Promid
68370,Alma Capital Investment Management (LU ),Promoters Marketers,Unknown,68370,Promid
19081,Almal Invest International Inc (BZ ),Promoters Marketers,Unknown,19081,Promid
19970,Alpcot Capital Management Ltd (GB ),Promoters Marketers,Unknown,19970,Promid
20616,Alpes Holdings Limited (GI ),Promoters Marketers,Unknown,20616,Promid
20782,Alpha Bank A. E. (GR ),Promoters Marketers,Unknown,20782,Promid
21976,Alpha Investor Services Management (LU ),Promoters Marketers,Unknown,21976,Promid
21673,Alpha Patrimoine S.A. (LU ),Promoters Marketers,Unknown,21673,Promid
70442,Alpha Trust Mutual Fund Mgt S.A. (GR ),Promoters Marketers,Unknown,70442,Promid
22338,Alpha UCITS Limited (GB ),Promoters Marketers,Unknown,22338,Promid
85076,AlphaBee Asset Management S.à r.l. (LU ),Promoters Marketers,Unknown,85076,Promid
17676,AlphaMundi Group AG (CH ),Promoters Marketers,Unknown,17676,Promid
84057,AlphaOne Capital Mgt S.à r.l. (LU ),Promoters Marketers,Unknown,84057,Promid
73096,AlphaOne Management S.à r.l. (LU ),Promoters Marketers,Unknown,73096,Promid
87711,AlphaTrustMutual Fd & Alt Ivt Fd Mgt (LU ),Promoters Marketers,Unknown,87711,Promid
89946,Alpinum Investment Management AG (CH ),Promoters Marketers,Unknown,89946,Promid
107889,Alquant AG (CH ),Promoters Marketers,Unknown,107889,Promid
111645,Alt Investments B.V. (NL ),Promoters Marketers,Unknown,111645,Promid
20945,Alta Faubourg S.A.S. (FR ),Promoters Marketers,Unknown,20945,Promid
80362,Altarocca AM SAS (FR ),Promoters Marketers,Unknown,80362,Promid
72077,ALTE LEIPZIGER Trust Ivt-Gesellsch. (DE ),Promoters Marketers,Unknown,72077,Promid
18682,Alter Domus Management Company S.A. (LU ),Promoters Marketers,Unknown,18682,Promid
21296,Alterfi S.A. (CH ),Promoters Marketers,Unknown,21296,Promid
113940,ALTERNATIVE PATRIMONIALE (FR ),Promoters Marketers,Unknown,113940,Promid
92080,Alternative Value Umbrella Manager (LU ),Promoters Marketers,Unknown,92080,Promid
1834,"Altex Partners Gestion, S.G.I.I.C. (ES )",Promoters Marketers,Unknown,1834,Promid
74282,"Althelia Climate Fund GP, S.à r.l. (LU )",Promoters Marketers,Unknown,74282,Promid
72428,Altimeo Asset Management (FR ),Promoters Marketers,Unknown,72428,Promid
83670,Altius Holdings Limited (GB ),Promoters Marketers,Unknown,83670,Promid
80367,Alto Invest (FR ),Promoters Marketers,Unknown,80367,Promid
69128,"Altrinsic Global Advisors, LLC (US )",Promoters Marketers,Unknown,69128,Promid
91641,Altum Mgt Company (Luxembourg) S.A. (LU ),Promoters Marketers,Unknown,91641,Promid
108583,Alturis Capital GmbH (DE ),Promoters Marketers,Unknown,108583,Promid
90897,Altus Management SARL (LU ),Promoters Marketers,Unknown,90897,Promid
