ID,Company_Name,Service_Type,Country,Search_Value,Original_Category
91133,Bank of NYM SA/NV Ndl Frankfurt (DE),Central Administrations,DE,91133,Adminid
72039,Bankhaus Schelhammer & Schattera K. (AT),Central Administrations,AT,72039,Adminid
1679,Bankinter S.A. (ES),Central Administrations,ES,1679,Adminid
1685,Banque Cantonale Vaudoise (CH),Central Administrations,CH,1685,Adminid
1474,Banque de Luxembourg S.A. (LU),Central Administrations,LU,1474,Adminid
18842,Banque de Patrimoines Privés S.A. (LU),Central Administrations,LU,18842,Adminid
2341,Banque Degroof Petercam S.A. (BE),Central Administrations,BE,2341,Adminid
2540,Banque Delen N.V. (BE),Central Administrations,BE,2540,Adminid
1478,Banque et Caisse d'Epargne de l'Etat (LU),Central Administrations,LU,1478,Adminid
42803,Banque Fédérative du Crédit Mutuel (FR),Central Administrations,FR,42803,Adminid
83654,Banque Havilland (Liechtenstein) AG (LI),Central Administrations,LI,83654,Adminid
10496,Banque J. Safra Sarasin (Lux) SA (LU),Central Administrations,LU,10496,Adminid
91843,Banque Lombard Odier & Cie SA (CH),Central Administrations,CH,91843,Adminid
91649,Batipart Participations S.A.S. (LU),Central Administrations,LU,91649,Adminid
4471,BayernInvest Kapitalanlagegesel. mbH (DE),Central Administrations,DE,4471,Adminid
4415,BayernInvest Luxembourg S.A. (LU),Central Administrations,LU,4415,Adminid
108021,Belasko Luxembourg S.à r.l. (LU),Central Administrations,LU,108021,Adminid
1807,Belfius Bank S.A. (BE),Central Administrations,BE,1807,Adminid
72052,BI Management A/S (DK),Central Administrations,DK,72052,Adminid
72812,BI-Invest Endowment Mgt S.à r.l. (LU),Central Administrations,LU,72812,Adminid
68022,BlackRock Asset Management DE AG (DE),Central Administrations,DE,68022,Adminid
71864,BlackRock Cayco Ltd (KY),Central Administrations,KY,71864,Adminid
69409,BlackRock Fund Managers Ltd (GB),Central Administrations,GB,69409,Adminid
81701,BLKB (CH),Central Administrations,CH,81701,Adminid
68856,BNP Paribas AM Europe S.A. (FR),Central Administrations,FR,68856,Adminid
5582,"BNP Paribas AM Europe, Belgian Br. (BE)",Central Administrations,BE,5582,Adminid
6264,"BNP Paribas AM Europe, Netherlands (NL)",Central Administrations,NL,6264,Adminid
1490,BNP Paribas AM Luxembourg S.A. (LU),Central Administrations,LU,1490,Adminid
83607,BNP Paribas Fd Admin. Services (IE),Central Administrations,IE,83607,Adminid
22807,BNP Paribas Fund Services Dublin Ltd (IE),Central Administrations,IE,22807,Adminid
18164,BNP Paribas Real Estate Ivt Mgt Lux (LU),Central Administrations,LU,18164,Adminid
