ID,Company_Name,Service_Type,Country,Search_Value,Original_Category
22008,CACEIS Investor Services Ireland Ld (IE),Custodians,IE,22008,Bqedepid
59475,CBP Quilvest S.A. (LU),Custodians,LU,59475,Bqedepid
10148,CITCO Bank Nederland N.V. Lux Branch (LU),Custodians,LU,10148,Bqedepid
22840,Citco Bewaarder B.V. (NL),Custodians,NL,22840,Bqedepid
83470,Citi Depositary Services Ireland Ld (IE),Custodians,IE,83470,Bqedepid
1493,Citibank Europe PLC (Lux. Br.) (LU),Custodians,LU,1493,Bqedepid
100891,Citibank Europe Plc Netherlands B (NL),Custodians,NL,100891,Bqedepid
83373,Citibank Europe plc UK Branch (GB),Custodians,GB,83373,Bqedepid
17782,Citibank International Plc (GR),Custodians,GR,17782,Bqedepid
66589,"Citibank International Plc, Ireland (IE)",Custodians,IE,66589,Bqedepid
19004,Citibank N.A. London Branch (GB),Custodians,GB,19004,Bqedepid
16511,CM - CIC MARKET SOLUTIONS (FR),Custodians,FR,16511,Bqedepid
72452,COGEFI (FR),Custodians,FR,72452,Bqedepid
1774,Commerzbank AG (DE),Custodians,DE,1774,Bqedepid
1784,Cornèr Banque S.A. (CH),Custodians,CH,1784,Bqedepid
60911,Crédit Coopératif (FR),Custodians,FR,60911,Bqedepid
1787,Crédit Industriel et Commercial (FR),Custodians,FR,1787,Bqedepid
2971,Credit Suisse (Luxembourg) S.A. (LU),Custodians,LU,2971,Bqedepid
72047,CRELAN S.A. (BE),Custodians,BE,72047,Bqedepid
87896,CS Fd Services (IE) Ltd (IE),Custodians,IE,87896,Bqedepid
2666,Danske Bank A/S (DK),Custodians,DK,2666,Bqedepid
70871,Degussa Bank GmbH (DE),Custodians,DE,70871,Bqedepid
2785,DekaBank Deutsche Girozentrale (DE),Custodians,DE,2785,Bqedepid
15023,DekaBank Deutsche Girozentrale FaM (LU),Custodians,LU,15023,Bqedepid
1476,Delen Private Bank Luxembourg S.A. (LU),Custodians,LU,1476,Bqedepid
20724,Delta Lloyd N.V. (NL),Custodians,NL,20724,Bqedepid
2240,Deutsche Apotheker & Ärztebank eG (DE),Custodians,DE,2240,Bqedepid
96928,"Deutsche Bank AG, Dublin Branch (IE)",Custodians,IE,96928,Bqedepid
1575,Deutsche Bank Luxembourg S.A. (LU),Custodians,LU,1575,Bqedepid
72059,Dierickx Leys Private Bank N.V. (BE),Custodians,BE,72059,Bqedepid
25881,DNB Bank ASA (NO),Custodians,NO,25881,Bqedepid
20943,DONNER & REUSCHEL Aktiengesellschaft (DE),Custodians,DE,20943,Bqedepid
1815,DZ Bank AG Deutsche Zentral-G. (DE),Custodians,DE,1815,Bqedepid
1511,DZ Privatbank S.A. (LU),Custodians,LU,1511,Bqedepid
15025,East-West United Bank S.A. (LU),Custodians,LU,15025,Bqedepid
1486,Edmond de Rothschild (Europe) (LU),Custodians,LU,1486,Bqedepid
1910,Edmond de Rothschild (France) (FR),Custodians,FR,1910,Bqedepid
12669,EFG Bank (Luxembourg) S.A. (LU),Custodians,LU,12669,Bqedepid
87111,"EFG Bank AG, Lugano Branch (CH)",Custodians,CH,87111,Bqedepid
19706,Erste Group Bank AG (AT),Custodians,AT,19706,Bqedepid
19718,Eurobank (Cyprus) Ltd (CY),Custodians,CY,19718,Bqedepid
1512,Eurobank Private Bank Lux S.A. (LU),Custodians,LU,1512,Bqedepid
1586,European Depositary Bank SA (LU),Custodians,LU,1586,Bqedepid
72073,Evli Bank Plc (FI),Custodians,FI,72073,Bqedepid
72067,FIM Bank Ltd (FI),Custodians,FI,72067,Bqedepid
88379,Financière d’Uzès (FR),Custodians,FR,88379,Bqedepid
3006,Fortis Bank (Nederland) N.V. (NL),Custodians,NL,3006,Bqedepid
84421,GRESHAM Banque S.A. (FR),Custodians,FR,84421,Bqedepid
20136,Hauck & Aufhäuser Fund Platforms SA (LU),Custodians,LU,20136,Bqedepid
3100,Hauck Aufhäuser Lampe Privatbank AG (DE),Custodians,DE,3100,Bqedepid
70328,Hauck Aufhäuser Lampe Privatbank AG (LU),Custodians,LU,70328,Bqedepid
22799,HSBC Bank plc (GB),Custodians,GB,22799,Bqedepid
10774,"HSBC Continental Europe, Dublin (IE)",Custodians,IE,10774,Bqedepid
93379,"HSBC Continental Europe, Lux branch (LU)",Custodians,LU,93379,Bqedepid
102735,"HSBC France, Dublin Branch (IE)",Custodians,IE,102735,Bqedepid
5086,HSBC Institutional Trust Services (HK),Custodians,HK,5086,Bqedepid
11294,HSBC PrivBnk Ltd (GG),Custodians,GG,11294,Bqedepid
2537,HSBC Trinkaus & Burkhardt AG (DE),Custodians,DE,2537,Bqedepid
1580,HSBC Trinkaus & Burkhardt Intl S.A. (LU),Custodians,LU,1580,Bqedepid
3106,Immigon portfolioabbau AG (AT),Custodians,AT,3106,Bqedepid
16345,InCore Bank AG (CH),Custodians,CH,16345,Bqedepid
82865,ING Bank S.A. (LU),Custodians,LU,82865,Bqedepid
1684,ING Belgique S.A. (BE),Custodians,BE,1684,Bqedepid
1501,ING Luxembourg S.A. (LU),Custodians,LU,1501,Bqedepid
1558,Intesa Sanpaolo Bank Luxembourg S.A. (LU),Custodians,LU,1558,Bqedepid
11507,Intesa Sanpaolo Wealth Mgt (LU),Custodians,LU,11507,Bqedepid
88301,Investimo (FR),Custodians,FR,88301,Bqedepid
93200,J.P. Morgan Bank Lux SA Dublin Br (IE),Custodians,IE,93200,Bqedepid
93203,"J.P. Morgan Bank Lux SA, Oslo Br (NO)",Custodians,NO,93203,Bqedepid
19435,"J.P. Morgan Chase Bank, N.A. (GB)",Custodians,GB,19435,Bqedepid
72051,"J.P. Morgan Europe (UK), Copenhagen (DK)",Custodians,DK,72051,Bqedepid
17159,J.P. Morgan Europe Limited (GB),Custodians,GB,17159,Bqedepid
84162,"J.P. Morgan Europe Limited, Oslo Br (NO)",Custodians,NO,84162,Bqedepid
68252,"J.P. Morgan Europe Ltd, Brussels (BE)",Custodians,BE,68252,Bqedepid
107471,J.P. Morgan SE - Luxembourg Branch (LU),Custodians,LU,107471,Bqedepid
114065,"J.P. Morgan SE, Dublin Branch (IE)",Custodians,IE,114065,Bqedepid
1723,"Joh. Berenberg, Gossler & Co. KG (DE)",Custodians,DE,1723,Bqedepid
22560,JP Morgan Bank (Ireland) plc (IE),Custodians,IE,22560,Bqedepid
83514,JP Morgan Europe Ld (UK) Stock bk br (SE),Custodians,SE,83514,Bqedepid
3506,"JPMorgan Chase Bank, London Branch (GB)",Custodians,GB,3506,Bqedepid
17257,Jyske Bank A/S (DK),Custodians,DK,17257,Bqedepid
72388,Kas Bank N.V. (DE),Custodians,DE,72388,Bqedepid
11710,KAS BANK N.V. (NL),Custodians,NL,11710,Bqedepid
1906,KBC Bank S.A. (BE),Custodians,BE,1906,Bqedepid
84259,KBC Securities nv (BE),Custodians,BE,84259,Bqedepid
1907,Kempen & Co N.V. (NL),Custodians,NL,1907,Bqedepid
2383,Kreissparkasse Köln (DE),Custodians,DE,2383,Bqedepid
87488,Lån & Spar Bank A/S (DK),Custodians,DK,87488,Bqedepid
20487,Landbouwkrediet N.V. (BE),Custodians,BE,20487,Bqedepid
2386,Landesbank Baden-Württemberg (DE),Custodians,DE,2386,Bqedepid
3004,Landesbank Berlin AG (DE),Custodians,DE,3004,Bqedepid
5991,Landesbank Hessen-Thüringen (DE),Custodians,DE,5991,Bqedepid
3560,Lazard Frères Banque (FR),Custodians,FR,3560,Bqedepid
1533,LBBW Luxemburg Branch (LU),Custodians,LU,1533,Bqedepid
2597,Leleux Associated Brokers N.V. (BE),Custodians,BE,2597,Bqedepid
3071,LGT Bank AG (LI),Custodians,LI,3071,Bqedepid
3976,Liechtensteinische Landesbank AG (LI),Custodians,LI,3976,Bqedepid
72011,Liechtensteinischen Landesbank (AT),Custodians,AT,72011,Bqedepid
84101,LLB Liechtensteinische Landesbank AG (LI),Custodians,LI,84101,Bqedepid
1949,M.M.Warburg & CO (AG & Co.) KGaA (DE),Custodians,DE,1949,Bqedepid
1939,Merck Finck Privatbankiers AG (DE),Custodians,DE,1939,Bqedepid
2113,Mitsubishi UFJ Investor S&B (Lux) SA (LU),Custodians,LU,2113,Bqedepid
84392,Mitsubishi UFJ Investor Serv & Bank (IE),Custodians,IE,84392,Bqedepid
1540,Mizuho Trust & Banking Luxembourg SA (LU),Custodians,LU,1540,Bqedepid
22800,National Westminster Bank plc (GB),Custodians,GB,22800,Bqedepid
72394,National-Bank AG (DE),Custodians,DE,72394,Bqedepid
1485,Natixis Corporate & Ivt Banking Lux (LU),Custodians,LU,1485,Bqedepid
72801,"Natwest Markets plc, Luxembourg Br (LU)",Custodians,LU,72801,Bqedepid
91714,NatWest Trustee & Depositary Serv. (GB),Custodians,GB,91714,Bqedepid
80234,Neue Bank AG (LI),Custodians,LI,80234,Bqedepid
1542,Nomura Bank (Luxembourg) S.A. (LU),Custodians,LU,1542,Bqedepid
68971,Northern Trust Fiduciary Services L (IE),Custodians,IE,68971,Bqedepid
93547,Northern Trust Global Services A Br (NL),Custodians,NL,93547,Bqedepid
71841,Northern Trust Global Services Ld (GB),Custodians,GB,71841,Bqedepid
101456,Northern Trust Global Services SE (GB),Custodians,GB,101456,Bqedepid
56507,Northern Trust Global Services SE (LU),Custodians,LU,56507,Bqedepid
17509,Nykredit Bank A/S (DK),Custodians,DK,17509,Bqedepid
55634,Oberbank AG (AT),Custodians,AT,55634,Bqedepid
105096,Ocorian Depositary (UK) Limited (GB),Custodians,GB,105096,Bqedepid
15064,ODDO BHF (Schweiz) AG (CH),Custodians,CH,15064,Bqedepid
15946,Oddo BHF SCA (FR),Custodians,FR,15946,Bqedepid
88085,Orange Bank (FR),Custodians,FR,88085,Bqedepid
4802,Orangefield (Luxembourg) S.A. (LU),Custodians,LU,4802,Bqedepid
72547,Oudart S.A. (FR),Custodians,FR,72547,Bqedepid
68391,Partners Group (Luxembourg) S.A. (LU),Custodians,LU,68391,Bqedepid
1531,Quintet Private Bank (Europe) S.A. (LU),Custodians,LU,1531,Bqedepid
2964,Raiffeisen Bank International AG (AT),Custodians,AT,2964,Bqedepid
46328,Raiffeisenlandesbk Oberösterreich A. (AT),Custodians,AT,46328,Bqedepid
73421,RBS Global Banking (Luxembourg) S.A. (LU),Custodians,LU,73421,Bqedepid
107834,Regiobank Solothurn AG (CH),Custodians,CH,107834,Bqedepid
87007,Renta 4 Banco S.A. (ES),Custodians,ES,87007,Bqedepid
4872,Rothschild & Cie Banque (FR),Custodians,FR,4872,Bqedepid
87358,Rothschild Martin Maurel (FR),Custodians,FR,87358,Bqedepid
2326,Sal. Oppenheim jr. &Cie. AG&Co. KGaA (DE),Custodians,DE,2326,Bqedepid
14071,Saltgate S.A. (LU),Custodians,LU,14071,Bqedepid
59189,Santander Investment S.A. (ES),Custodians,ES,59189,Bqedepid
91669,Santander Securities Services (ES),Custodians,ES,91669,Bqedepid
2950,Schoellerbank Aktiengesellschaft (AT),Custodians,AT,2950,Bqedepid
72069,SEB AB (FI),Custodians,FI,72069,Bqedepid
3874,SEB AG (DE),Custodians,DE,3874,Bqedepid
72542,SEI Invts Trustee and Custodial Ltd (IE),Custodians,IE,72542,Bqedepid
72075,Seligson & Co Plc (FI),Custodians,FI,72075,Bqedepid
3002,Sigma Bank AG (LI),Custodians,LI,3002,Bqedepid
98050,"Skandinaviska EB AB (publ), Lux Br (LU)",Custodians,LU,98050,Bqedepid
22060,Skandinaviska Enskilda Banken AB (NO),Custodians,NO,22060,Bqedepid
2021,Skandinaviska Enskilda Banken AB (SE),Custodians,SE,2021,Bqedepid
65310,Skandinaviska Enskilda Banken AB (SE),Custodians,SE,65310,Bqedepid
1556,Skandinaviska Enskilda Banken SA (LU),Custodians,LU,1556,Bqedepid
1541,SMBC Nikko Bank (Luxembourg) S.A. (LU),Custodians,LU,1541,Bqedepid
10771,Société Générale - London branch (GB),Custodians,GB,10771,Bqedepid
2806,Société Générale Luxembourg S.A. (LU),Custodians,LU,2806,Bqedepid
20919,Société Générale S.A. (DE),Custodians,DE,20919,Bqedepid
2028,Société Générale S.A. (FR),Custodians,FR,2028,Bqedepid
65745,Société Générale S.A. (IE),Custodians,IE,65745,Bqedepid
13125,Société Générale Securities Services (IT),Custodians,IT,13125,Bqedepid
15976,Sparbank A/S (DK),Custodians,DK,15976,Bqedepid
6369,Sparkasse Bank Malta p.l.c. (MT),Custodians,MT,6369,Bqedepid
5468,Sparkasse KölnBonn (DE),Custodians,DE,5468,Bqedepid
2997,State Steet Bank GmbH (DE),Custodians,DE,2997,Bqedepid
22957,State Street Bank and Trust Company (GB),Custodians,GB,22957,Bqedepid
72033,State Street Bank GmbH Vienna Branch (AT),Custodians,AT,72033,Bqedepid
96926,State Street Bank International GmbH (AT),Custodians,AT,96926,Bqedepid
