Category,Value,Text
Promid,71837,Allianz Invest K. mbH (AT )
Promid,91677,Allianz Investment Management SE (DE )
Promid,101375,Allied Investment Partners PJSC (AE )
Promid,72895,Allspring Global Investments Lux SA (LU )
Promid,15888,Alm. Brand Invest (DK )
Promid,68370,Alma Capital Investment Management (LU )
Promid,19081,Almal Invest International Inc (BZ )
Promid,19970,Alpcot Capital Management Ltd (GB )
Promid,20616,Alpes Holdings Limited (GI )
Promid,20782,Alpha Bank A. E. (GR )
Promid,21976,Alpha Investor Services Management (LU )
Promid,21673,Alpha Patrimoine S.A. (LU )
Promid,70442,Alpha Trust Mutual Fund Mgt S.A. (GR )
Promid,22338,Alpha UCITS Limited (GB )
Promid,85076,AlphaBee Asset Management S.à r.l. (LU )
Promid,17676,AlphaMundi Group AG (CH )
Promid,84057,AlphaOne Capital Mgt S.à r.l. (LU )
Promid,73096,AlphaOne Management S.à r.l. (LU )
Promid,87711,AlphaTrustMutual Fd & Alt Ivt Fd Mgt (LU )
Promid,89946,Alpinum Investment Management AG (CH )
Promid,107889,Alquant AG (CH )
Promid,111645,Alt Investments B.V. (NL )
Promid,20945,Alta Faubourg S.A.S. (FR )
Promid,80362,Altarocca AM SAS (FR )
Promid,72077,ALTE LEIPZIGER Trust Ivt-Gesellsch. (DE )
Promid,18682,Alter Domus Management Company S.A. (LU )
Promid,21296,Alterfi S.A. (CH )
Promid,113940,ALTERNATIVE PATRIMONIALE (FR )
Promid,92080,Alternative Value Umbrella Manager (LU )
Promid,1834,"Altex Partners Gestion, S.G.I.I.C. (ES )"
Promid,74282,"Althelia Climate Fund GP, S.à r.l. (LU )"
Promid,72428,Altimeo Asset Management (FR )
Promid,83670,Altius Holdings Limited (GB )
Promid,80367,Alto Invest (FR )
Promid,69128,"Altrinsic Global Advisors, LLC (US )"
Promid,91641,Altum Mgt Company (Luxembourg) S.A. (LU )
Promid,108583,Alturis Capital GmbH (DE )
Promid,90897,Altus Management SARL (LU )
Promid,18966,Alvis Asset Management S.à r.l. (LU )
Promid,87921,Amagis Capital Management Ltd (MT )
Promid,72429,Amalthée Gestion SGP (FR )
Promid,115544,Ambienta Sgr S.P.A. (IT )
Promid,2196,American Express Bank Ltd (US )
Promid,99907,AMG Fondsverwaltung AG (CH )
Promid,72431,Amiral Gestion (FR )
Promid,17533,Amonis OFP (BE )
Promid,14939,AMP Capital Investors Intl Hold. Ltd (AU )
Promid,14940,AMP Capital Investors Limited (AU )
