ID,Company_Name,Service_Type,Country,Search_Value,Original_Category
101714,"BNP Paribas SA, Netherlands Branch (NL)",Transfer Agents,NL,101714,Tenregid
10965,BNP Paribas Securities Services (BE),Transfer Agents,BE,10965,Tenregid
63786,BNP Paribas Securities Services (FR),Transfer Agents,FR,63786,Tenregid
69545,"BNP Paribas, Dublin Branch (IE)",Transfer Agents,IE,69545,Tenregid
15084,"BNP Paribas, Succursale de Lux (LU)",Transfer Agents,LU,15084,Tenregid
21290,BNY Mellon Fd Services (Ireland) Ltd (IE),Transfer Agents,IE,21290,Tenregid
81352,BNY Mellon Fund Services (Ireland) (IE),Transfer Agents,IE,81352,Tenregid
87969,BNY Mellon Fund Services (Ireland) (IE),Transfer Agents,IE,87969,Tenregid
22697,BNY Mellon Ivt Servicing (Intl) Ltd (IE),Transfer Agents,IE,22697,Tenregid
72252,BNY Mellon Service KAG (DE),Transfer Agents,DE,72252,Tenregid
80423,Boardroom Pty Limited (AU),Transfer Agents,AU,80423,Tenregid
21679,Bolder Luxembourg S.A. (LU),Transfer Agents,LU,21679,Tenregid
15042,"BONYM SA/NV, LUXEMBOURG BRANCH (THE) (LU)",Transfer Agents,LU,15042,Tenregid
5813,BRED Banque Populaire (FR),Transfer Agents,FR,5813,Tenregid
1491,Brown Brothers Harriman (Lux) S.C.A. (LU),Transfer Agents,LU,1491,Tenregid
17971,Brown Brothers Harriman Fd Ad. Serv. (IE),Transfer Agents,IE,17971,Tenregid
4569,C Worldwide AM Fondsmæglerselskab (DK),Transfer Agents,DK,4569,Tenregid
4532,C WorldWide Fund Management S.A. (LU),Transfer Agents,LU,4532,Tenregid
108497,CA Indosuez (FR),Transfer Agents,FR,108497,Tenregid
4856,CA Indosuez Fund Solutions (LU),Transfer Agents,LU,4856,Tenregid
72492,CA Indosuez Private Banking (FR),Transfer Agents,FR,72492,Tenregid
11841,CACEIS Bank (FR),Transfer Agents,FR,11841,Tenregid
5078,"CACEIS Bank, Belgium Branch (BE)",Transfer Agents,BE,5078,Tenregid
17167,"CACEIS Bank, Deutschland Branch (DE)",Transfer Agents,DE,17167,Tenregid
19422,"CACEIS Bank, Ireland Branch (IE)",Transfer Agents,IE,19422,Tenregid
80269,"CACEIS Bank, Italy Branch (IT)",Transfer Agents,IT,80269,Tenregid
2758,"CACEIS Bank, Luxembourg Branch (LU)",Transfer Agents,LU,2758,Tenregid
69457,"CACEIS Bank, Netherlands Branch (NL)",Transfer Agents,NL,69457,Tenregid
14886,"CACEIS Bank, Switzerland Branch (CH)",Transfer Agents,CH,14886,Tenregid
19134,CACEIS Fund Administration (FR),Transfer Agents,FR,19134,Tenregid
20960,CACEIS Investor Services Bank France (FR),Transfer Agents,FR,20960,Tenregid
1577,CACEIS Investor Services Bank S.A. (LU),Transfer Agents,LU,1577,Tenregid
22699,CACEIS Investor Services Bank SA IRL (IE),Transfer Agents,IE,22699,Tenregid
19962,CACEIS Investor Services Bank SA IT (IT),Transfer Agents,IT,19962,Tenregid
18403,CACEIS Investor Services Belgium (BE),Transfer Agents,BE,18403,Tenregid
22008,CACEIS Investor Services Ireland Ld (IE),Transfer Agents,IE,22008,Tenregid
101429,CACEIS Investor Services Trust UK (GB),Transfer Agents,GB,101429,Tenregid
19421,CACEIS Ireland Limited (IE),Transfer Agents,IE,19421,Tenregid
5470,CACEIS Netherlands (NL),Transfer Agents,NL,5470,Tenregid
70227,Caibuo Capital SARL (LU),Transfer Agents,LU,70227,Tenregid
67941,Capita Financial Admin (IE) Ltd (IE),Transfer Agents,IE,67941,Tenregid
22962,Capita Financial Administrators Ltd (GB),Transfer Agents,GB,22962,Tenregid
87929,Capita Registrars Ltd (GB),Transfer Agents,GB,87929,Tenregid
20137,Carnegie Fund Services S.A. (LU),Transfer Agents,LU,20137,Tenregid
72253,Catella Real Estate AG (DE),Transfer Agents,DE,72253,Tenregid
88030,CBRE Global Ivt Administration Lux (LU),Transfer Agents,LU,88030,Tenregid
115236,CBRE Luxembourg (LU),Transfer Agents,LU,115236,Tenregid
97262,CC Fund Services (Malta) Limited (MT),Transfer Agents,MT,97262,Tenregid
14348,Centralis S.A. (LU),Transfer Agents,LU,14348,Tenregid
14965,CF Fund Services S.A. (LU),Transfer Agents,LU,14965,Tenregid
83925,Cholet Dupont S.A. (FR),Transfer Agents,FR,83925,Tenregid
71937,Citco Fund Services (Ireland) Ld (IE),Transfer Agents,IE,71937,Tenregid
2743,Citco Fund Services (Luxembourg) S.A (LU),Transfer Agents,LU,2743,Tenregid
22839,Citco Fund Services (Nederland) B.V. (NL),Transfer Agents,NL,22839,Tenregid
13976,Citco Reif Services (Luxembourg) SA (LU),Transfer Agents,LU,13976,Tenregid
17476,"Citi Fund Services (Ireland), Ltd (IE)",Transfer Agents,IE,17476,Tenregid
65729,Citibank Europe plc (IE),Transfer Agents,IE,65729,Tenregid
1493,Citibank Europe PLC (Lux. Br.) (LU),Transfer Agents,LU,1493,Tenregid
100891,Citibank Europe Plc Netherlands B (NL),Transfer Agents,NL,100891,Tenregid
83373,Citibank Europe plc UK Branch (GB),Transfer Agents,GB,83373,Tenregid
4670,Citibank N.A. (US),Transfer Agents,US,4670,Tenregid
19004,Citibank N.A. London Branch (GB),Transfer Agents,GB,19004,Tenregid
98241,CLCF Partners S.A. (LU),Transfer Agents,LU,98241,Tenregid
16511,CM - CIC MARKET SOLUTIONS (FR),Transfer Agents,FR,16511,Tenregid
72395,Commerz Real Investmentg. mbH (DE),Transfer Agents,DE,72395,Tenregid
22530,Computershare Investor Services Ltd (IE),Transfer Agents,IE,22530,Tenregid
87930,Computershare Investor Services PLC (GB),Transfer Agents,GB,87930,Tenregid
64482,Computershare IS Jersey Ltd (JE),Transfer Agents,JE,64482,Tenregid
2269,C-QUADRAT Kapitalanlage AG (AT),Transfer Agents,AT,2269,Tenregid
88099,Credit Agricole Bank Romania S.A. (RO),Transfer Agents,RO,88099,Tenregid
60911,Crédit Coopératif (FR),Transfer Agents,FR,60911,Tenregid
